distance,myBulletPower,opponentAdvancingVelocity,opponentBackwardWall,opponentCurrentGuessFactor,opponentDistanceLast10,opponentForwardWall,opponentLateralVelocity,opponentTimeSinceLastDeceleration,type,guessFactor
451,1.99,0.51,0.52,0,71.48,0.93,7.98,36,MISS,0.94
472,1.99,0.82,0.62,0.65,71.88,0.92,7.96,57,MISS,0.96
432,1.99,1.20,0.57,0.42,71.81,0.91,7.91,71,HIT,0.92
425,1.99,1.32,0.65,0.84,71.66,0.92,7.89,85,MISS,0.17
465,1.99,0.94,0.68,0.47,71.65,0.93,7.94,99,MISS,-0.46
453,1.99,0.74,0.67,0.33,51,0.93,7.97,10,MISS,-0.17
371,1.99,1.60,0.57,0.03,68.89,0.92,7.84,14,BULLETHITBULLET,0.91
411,1.99,0.44,0.78,0.32,22.05,0.89,2.97,3,MISS,0.17
409,1.99,0.58,0.72,0.18,10.42,0.91,3.96,4,MISS,-0.54
441,1.99,0.58,0.76,0.09,5.55,0.91,4.46,4,MISS,0.24
431,1.99,0.12,0.64,-0.49,71.91,0.88,8,18,MISS,-0.36
438,1.99,1.02,0.66,0.40,36,0.93,7.93,8,MISS,-0.31
455,1.99,0.19,0.80,-0.47,32.95,0.87,2,2,MISS,0.30
447,1.99,0.74,0.69,0.46,26,0.91,6.96,7,MISS,-0.30
455,1.99,-0.02,0.80,-0.31,32.96,0.88,2,2,MISS,0.37
445,1.79,-0.50,0.65,-0.13,71.89,0.85,7.98,16,MISS,-0.15
452,1.49,0.63,0.67,0.50,15,0.94,5.97,6,MISS,0.33
466,1.51,0.40,0.73,-0.14,22.23,0.92,4.73,5,MISS,0.42
482,1.21,0.05,0.76,0.32,29.83,0.92,4.69,0,MISS,0.29
492,1.25,-0.29,0.73,0.01,17.54,0.94,5.62,5,BULLETHITBULLET,0.31
490,1.13,-0.37,0.65,0.38,57.80,0.94,8,11,MISS,0.23
484,1.35,0.31,0.76,0.23,51.88,0.92,3.99,0,MISS,-0.01
488,1.43,-0.46,0.68,-0.30,57,0.95,7.99,11,MISS,-0.91
490,1.48,-0.62,0.66,-0.18,44,0.94,7.98,9,MISS,0.63
487,1.52,-0.38,0.66,-0.71,71.91,0.92,8,22,MISS,0.43
479,0.97,-0.07,0.79,0.59,6.77,0.88,1.37,1,MISS,-0.80
