distance,myBulletPower,opponentAdvancingVelocity,opponentBackwardWall,opponentCurrentGuessFactor,opponentDistanceLast10,opponentForwardWall,opponentLateralVelocity,opponentTimeSinceLastDeceleration,type,guessFactor
681,1.99,0.03,0.30,0,1.58,0.86,0.42,0,MISS,0.86
657,1.99,-1.47,0.42,0.28,71.91,0.92,7.86,16,MISS,0.90
567,1.99,-0.91,0.67,0.60,71.96,0.92,7.95,30,MISS,0.91
409,1.99,0.35,0.64,0.86,71.68,0.92,8,64,BULLETHITBULLET,0.91
471,1.99,-0.18,0.67,0.62,71.90,0.92,8,44,HIT,0.86
437,1.99,-0.08,0.79,0,22.04,0.90,3,3,MISS,0.25
465,1.99,-0.32,0.68,0.42,72,0.90,8,17,MISS,-0.84
450,1.99,0,0.67,0.31,50.91,0.94,8,10,MISS,0.22
441,1.99,-0.18,0.66,-0.76,71.98,0.91,8,24,MISS,-0.91
417,1.99,0.12,0.63,0.35,43.96,0.92,8,9,MISS,0.38
402,1.99,0.08,0.62,-0.79,72,0.92,8,23,MISS,-0.79
365,1.99,0.52,0.61,0.45,35.96,0.94,7.98,8,MISS,0.35
393,1.99,-0.12,0.74,0.54,65.98,0.91,4,0,MISS,-0.90
391,1.99,0.47,0.61,-0.51,70.65,0.91,7.99,15,MISS,-0.21
392,1.99,0.04,0.71,0.31,10.26,0.91,4,4,MISS,0.32
405,1.99,0.08,0.62,-0.16,72,0.91,8,18,HIT,-0.91
431,1.99,0.09,0.64,-0.37,61.77,0.92,8,12,MISS,0.41
437,1.99,0,0.83,0.38,51.96,0.83,0,0,MISS,0.19
394,1.99,0,0.79,0.40,7.03,0.87,1.98,2,HIT,0.31
403,1.99,0,0.80,0.15,20.93,0.83,1,0,MISS,-0.41
400,1.99,0.03,0.78,0.04,0.81,0.85,1.77,2,MISS,0.91
397,1.99,0.29,0.63,0.46,71.69,0.93,8,16,HIT,0.35
400,1.99,0.14,0.72,0.90,50.96,0.91,5,1,MISS,-0.39
399,1.99,0.02,0.80,-0.02,2.45,0.84,1.15,1,MISS,0.87
399,1.99,0.05,0.71,0.35,50.12,0.91,5,2,MISS,0.71
370,1.99,0.23,0.67,0.83,63.97,0.88,6,1,MISS,0.04
334,1.99,-0.28,0.73,0.72,35.90,0.70,1.98,0,MISS,-1.00
329,1.99,0.98,0.56,-0.51,65.60,0.92,7.94,13,MISS,1.00
323,1.99,0.62,0.57,0.60,71.98,0.94,7.98,27,MISS,0.75
331,1.99,0.52,0.67,0.55,62.78,0.90,4.97,1,MISS,-0.37
374,1.99,0.11,0.71,0.16,4.63,0.89,4,4,BULLETHITBULLET,0.30
