distance,myBulletPower,opponentAdvancingVelocity,opponentBackwardWall,opponentCurrentGuessFactor,opponentDistanceLast10,opponentForwardWall,opponentLateralVelocity,opponentTimeSinceLastDeceleration,type,guessFactor
325,1.99,2.68,0.56,0,71.95,0.91,7.54,18,MISS,1.00
393,1.99,1.61,0.64,0.54,71.98,0.92,7.84,32,MISS,0.28
437,1.99,0.86,0.66,0.97,71.99,0.79,7.95,46,MISS,-0.91
450,1.99,0.96,0.60,-0.32,61.76,0.94,7.94,12,MISS,0.95
483,1.99,0.39,0.68,0.44,71.65,0.93,8,26,MISS,0.35
467,1.99,0.35,0.68,0.92,72,0.91,8,41,MISS,-0.73
462,1.99,0.40,0.68,0.53,15,0.94,5.99,6,HIT,0.88
470,1.99,0.51,0.67,-0.45,71.91,0.91,7.98,20,MISS,0.40
468,1.99,0.64,0.68,0.86,71.75,0.81,7.97,35,MISS,-0.70
476,1.99,0.18,0.66,-0.49,70.91,0.88,8,9,BULLETHITBULLET,0.30
471,1.99,0.14,0.65,0.55,15,0.92,6,6,MISS,0.54
473,1.99,0.08,0.72,0.58,3,0.91,5,5,MISS,-0.90
493,1.99,-0.10,0.69,-0.19,50.87,0.88,8,10,MISS,0.66
476,1.99,-1.14,0.69,-0.74,71.75,0.85,7.92,24,MISS,0.02
472,1.30,0.03,0.65,0.39,72,0.94,8,18,MISS,-0.20
451,1.21,0.67,0.62,0.10,50.94,0.94,7.97,10,MISS,-0.21
448,1.13,0.06,0.83,0.35,42.90,0.87,1,1,MISS,1.00
468,1.06,0.43,0.62,-0.16,71.78,0.93,7.99,16,BULLETHITBULLET,0.29
493,1,-0.05,0.66,0.59,71.81,0.96,8,32,MISS,0.98
506,0.94,-0.28,0.65,0.42,71.83,0.91,8,44,MISS,0.99
504,0.88,-0.44,0.66,0.84,71.92,0.76,7.99,56,MISS,0.92
420,0.84,-4.13,0.57,0.86,70.84,0.37,6.85,68,HIT,0.98
340,0.45,0.71,0.29,0.35,23.40,0.87,2.40,2,BULLETHITBULLET,0.95
353,0.38,-6.12,0.56,0.90,68.25,0.24,3.39,1,MISS,-0.33
366,0.44,2.24,0.30,0,67.41,0.93,7.68,13,HIT,0.95
394,0.42,1.45,0.50,0.56,71.90,0.96,7.87,24,MISS,0.65
427,0.45,0.67,0.62,0.49,69.98,0.92,5.96,0,MISS,-0.20
442,0.44,0.17,0.76,0.64,20.97,0.86,2,0,MISS,-0.92
457,0.17,0.62,0.58,-0.14,47.42,0.95,7.98,9,MISS,0.56
487,0.16,0.07,0.64,0.51,68.70,0.81,7,1,MISS,-0.47
501,0.16,0,0.81,0.56,1,0.74,0,7,MISS,-0.81
515,0.16,-0.41,0.61,-0.29,47.40,0.96,7.99,9,MISS,0.57
532,0.16,-0.47,0.75,-0.77,62.81,0.95,4.98,1,HIT,-0.22
543,0.15,-0.38,0.78,0.54,15,0.90,2.98,1,MISS,-0.89
543,0.15,-0.97,0.63,-0.07,43.99,0.91,7.94,9,MISS,0.63
540,0.16,-0.90,0.63,-0.71,71.81,0.78,7.95,20,MISS,-0.11
547,0.16,0,0.85,0.63,27.86,0.64,0,3,MISS,-0.43
539,0.16,-0.90,0.59,0,41.86,0.95,7.95,9,MISS,-0.23
547,0.16,-0.39,0.76,-0.41,17.97,0.93,2.97,2,MISS,-0.56
533,0.15,-1.03,0.64,0,44,0.75,7.93,9,MISS,0.12
514,0.15,-2.13,0.79,-0.50,32.87,0.44,2.12,3,MISS,-0.40
515,0.17,-0.32,0.47,0.31,10.85,0.92,3.49,3,MISS,0.30
519,0.16,-0.39,0.69,-0.34,52,0.92,3.98,1,MISS,0.22
532,0.23,-0.03,0.83,0.36,5.04,0.80,1,6,HIT,-0.48
530,0.35,-0.54,0.68,0.07,12.27,0.96,5.47,5,MISS,0.11
529,0.84,0.13,0.81,0.33,32.96,0.87,1,0,HIT,-0.45
525,0.76,0.08,0.81,-0.25,37.48,0.78,1.50,0,MISS,0.74
526,0.93,-0.61,0.66,0.28,56.12,0.76,7.98,11,BULLETHITBULLET,-0.24
443,0.76,0.45,0.44,0.10,12.18,0.95,5.48,5,MISS,0.49
461,0.69,0.27,0.59,-0.58,71.99,0.94,8,17,MISS,-0.59
486,0.64,0.01,0.77,0.51,11.99,0.84,3,2,MISS,0.21
511,0.59,0.36,0.71,0.49,69.78,0.88,5.99,0,MISS,-1.00
514,0.54,-0.57,0.65,0.29,44,0.96,7.98,9,MISS,0.62
507,0.51,-0.33,0.63,-0.80,71.93,0.95,8,21,BULLETHITBULLET,-0.25
505,0.32,-0.15,0.79,0.65,24.98,0.88,2,3,MISS,-0.04
499,0.30,0,0.83,0.03,2.03,0.83,0,1,MISS,0.12
497,0.29,-0.09,0.76,0.02,3,0.90,2,12,MISS,-0.10
511,0.27,-0.19,0.74,-0.03,2.06,0.92,4,4,HIT,0.18
531,0.26,-0.37,0.78,-0.18,20.98,0.90,2.98,3,MISS,-0.13
526,0.25,0,0.83,0.09,4,0.83,0,6,MISS,0.41
521,0.27,-0.31,0.80,0,15.06,0.92,2.98,0,MISS,0.57
498,0.26,-0.29,0.71,0.27,26.98,0.92,5,4,MISS,0.56
473,0.25,-0.03,0.72,0.35,26.97,0.82,4,4,MISS,0.71
439,0.24,-1.93,0.69,0.49,49.41,0.71,3.50,2,MISS,0.81
388,0.23,-6.02,0.51,0.66,43.94,0.52,5.27,8,MISS,1.00
299,0.64,-7.33,0.46,0.67,71.90,0.37,3.20,19,HIT,0.10
374,1.99,2.24,0.58,0,71.25,0.90,7.68,26,MISS,-1.00
412,1.99,1.43,0.64,-0.23,50.81,0.89,7.87,10,MISS,0.64
427,1.99,0,0.82,0.51,43.98,0.72,0,1,MISS,0.21
396,1.99,-0.52,0.81,0.20,26.93,0.59,0.85,0,MISS,0.20
416,1.99,-0.39,0.81,0.20,1,0.66,0.92,13,MISS,-0.26
438,1.99,-0.96,0.76,0.21,29.97,0.80,3.88,2,MISS,-0.71
470,1.99,0.11,0.67,-0.13,62,0.92,8,12,HIT,0.64
445,1.99,0.25,0.75,-0.64,23.98,0.89,4,1,MISS,0.72
469,1.99,0.42,0.66,0.48,39.91,0.93,7.99,8,MISS,0.15
