distance,myBulletPower,opponentAdvancingVelocity,opponentBackwardWall,opponentCurrentGuessFactor,opponentForwardWall,opponentLateralVelocity,opponentTimeSinceLastDeceleration,type,guessFactor
543.09,1.99,6.20,0.69,0.20,0.79,5.05,40.00,MISS,0.15
581.75,1.99,5.83,0.70,0.37,0.53,5.48,54.00,MISS,-0.28
558.00,1.99,-0.00,0.80,0.38,0.43,0.00,3.00,MISS,-0.47
501.10,1.99,-0.73,0.36,0.17,0.92,7.24,0.00,MISS,0.39
506.06,1.99,6.81,0.46,-0.35,0.84,4.20,10.00,MISS,0.61
437.88,1.99,-1.39,0.54,0.24,0.93,5.84,6.00,BULLETHITBULLET,0.11
326.11,1.99,2.54,0.53,0.47,0.88,7.58,5.00,MISS,0.59
355.23,1.99,7.98,0.42,0.21,0.73,0.55,8.00,HIT,0.60
444.56,1.99,7.58,0.29,0.37,0.81,2.55,22.00,MISS,0.47
543.75,1.99,7.53,0.26,0.34,0.84,2.69,36.00,MISS,0.28
666.84,1.99,7.24,0.38,0.53,0.86,3.40,50.00,MISS,0.16
768.52,1.99,2.93,0.47,0.43,0.81,2.73,0.00,MISS,-0.01
772.45,1.99,-2.07,0.51,0.27,0.81,0.41,2.00,MISS,-0.18
726.98,1.99,0.85,0.55,0.19,0.88,3.91,4.00,MISS,-0.01
758.01,1.99,7.75,0.78,-0.01,0.39,1.97,10.00,MISS,-0.26
755.18,1.99,-2.48,0.83,-0.07,0.44,3.14,4.00,MISS,-0.32
715.76,1.99,2.01,0.86,-0.16,0.45,1.82,3.00,MISS,-0.26
740.15,1.99,1.65,0.52,-0.13,0.87,7.83,12.00,MISS,0.11
702.68,0.10,-0.44,0.74,-0.32,0.84,0.18,0.00,MISS,-0.10
689.27,0.10,-1.63,0.80,-0.30,0.78,4.89,6.00,HIT,-0.29
695.20,0.10,3.77,0.81,0.08,0.68,1.33,6.00,MISS,-0.71
724.50,0.10,0.00,0.86,0.08,0.66,-0.00,2.00,MISS,-1.00
746.03,0.10,3.90,0.72,-0.58,0.85,6.99,24.00,MISS,0.48
742.84,0.10,2.95,0.67,-0.86,0.83,7.44,3.00,MISS,0.19
735.38,0.10,0.00,0.72,0.73,0.74,0.00,1.00,MISS,0.08
742.55,0.10,-0.00,0.69,0.50,0.79,0.00,1.00,MISS,0.09
744.43,0.10,-0.15,0.64,0.16,0.90,2.75,3.00,MISS,0.19
727.96,0.10,2.31,0.56,-0.01,0.88,1.92,3.00,MISS,0.56
731.23,0.10,1.21,0.82,0.10,0.55,3.28,3.00,MISS,-0.86
