distance,myBulletPower,opponentAdvancingVelocity,opponentBackwardWall,opponentCurrentGuessFactor,opponentForwardWall,opponentLateralVelocity,opponentTimeSinceLastDeceleration,type,guessFactor
243.21,1.99,-2.71,0.44,0.00,0.78,7.53,23.00,MISS,0.58
182.79,1.99,-0.37,0.21,0.64,0.84,2.98,4.00,MISS,0.78
119.94,3.00,-2.96,0.10,0.00,0.83,7.43,18.00,MISS,0.93
99.02,3.00,3.00,0.21,0.00,0.45,0.14,4.00,MISS,-1.00
201.66,1.99,5.78,0.34,-1.00,0.85,5.53,20.00,MISS,0.20
249.70,1.99,-0.81,0.73,0.30,0.77,0.59,4.00,MISS,1.00
282.19,1.99,6.59,0.52,0.72,0.74,4.54,18.00,HIT,0.20
334.26,1.99,0.00,0.77,0.29,0.38,0.00,0.00,BULLETHITBULLET,0.86
316.62,1.99,-4.65,0.55,0.00,0.77,6.51,14.00,MISS,0.83
242.53,1.99,-0.75,0.51,0.77,0.51,6.96,0.00,HIT,0.08
242.20,1.99,-5.36,0.41,-0.19,0.87,4.50,11.00,MISS,0.31
124.28,3.00,-7.50,0.15,0.00,0.55,2.79,26.00,MISS,0.26
128.24,3.00,3.29,0.38,0.00,0.73,3.77,9.00,HIT,0.17
245.32,1.99,7.98,0.47,0.20,0.70,0.53,25.00,MISS,-0.22
262.33,2.49,-1.72,0.70,0.01,0.77,1.02,6.00,MISS,1.00
268.36,2.49,5.16,0.52,0.72,0.66,6.11,21.00,MISS,0.51
314.06,2.49,-3.49,0.43,0.37,0.71,0.26,3.00,MISS,-1.00
224.43,2.49,-4.04,0.42,-0.93,0.52,6.90,18.00,HIT,0.05
515.37,2.49,7.89,0.73,0.00,0.67,1.34,28.00,MISS,-0.26
550.38,2.49,-0.00,0.85,0.01,0.71,0.00,12.00,MISS,-0.29
433.59,2.49,-7.99,0.69,-0.22,0.77,0.31,32.00,MISS,-0.81
471.89,1.99,3.39,0.67,-0.65,0.93,7.25,21.00,BULLETHITBULLET,0.16
412.78,2.49,4.02,0.73,-0.08,0.88,5.11,6.00,MISS,0.27
472.03,1.99,3.94,0.70,0.45,0.90,5.79,7.00,MISS,0.40
532.99,1.99,7.98,0.62,0.30,0.74,0.52,21.00,MISS,0.68
541.80,1.99,-3.01,0.65,0.21,0.89,2.64,8.00,MISS,0.51
545.41,1.99,4.02,0.70,0.46,0.91,6.91,23.00,MISS,0.29
529.01,1.99,-6.89,0.63,0.14,0.88,4.06,13.00,MISS,0.16
437.00,1.91,-2.59,0.65,0.34,0.93,7.57,27.00,MISS,-0.42
420.28,1.74,-4.67,0.64,0.20,0.93,6.50,10.00,MISS,0.42
347.91,1.59,-2.98,0.54,0.39,0.87,7.43,24.00,HIT,0.15
397.63,1.46,7.92,0.62,-0.03,0.77,1.16,10.00,MISS,0.22
511.85,1.35,7.93,0.70,0.12,0.71,1.03,23.00,MISS,-0.84
538.99,1.62,-3.98,0.68,-0.05,0.91,4.49,7.00,MISS,0.51
541.16,1.86,-0.10,0.70,-0.62,0.92,8.00,21.00,MISS,0.03
566.56,1.70,-1.00,0.75,0.55,0.92,2.83,6.00,HIT,0.25
473.85,1.56,-6.89,0.67,0.21,0.87,4.06,23.00,HIT,0.52
