distance,myBulletPower,opponentAdvancingVelocity,opponentBackwardWall,opponentCurrentGuessFactor,opponentDistanceLast10,opponentForwardWall,opponentLateralVelocity,opponentTimeSinceLastDeceleration,type,guessFactor
358,1.99,-4.28,0.60,0.59,71.59,0.79,6.76,43,BULLETHITBULLET,-0.05
369,1.99,0.06,0.61,0,70.84,0.85,8,29,MISS,1.00
336,1.99,4.41,0.46,-0.47,65.95,0.91,6.68,13,MISS,0.73
372,1.99,5.88,0.32,0.49,72,0.86,5.43,27,MISS,0.59
438,1.99,-1.06,0.43,0.48,55.71,0.93,7.93,15,MISS,0.51
435,1.99,0,0.83,0.15,4,0.58,0,3,MISS,-0.27
457,1.99,2.55,0.59,0.39,57,0.91,7.58,17,MISS,-0.36
462,1.99,-4.88,0.71,-0.30,26,0.74,5.02,7,MISS,0.22
431,1.99,-4.98,0.65,-0.26,49.25,0.60,6.26,10,MISS,-0.35
440,1.99,-0.47,0.64,-0.04,27,0.87,1.94,2,MISS,0.45
459,1.99,0,0.82,0.22,26.93,0.78,0,1,MISS,-0.69
484,1.99,-0.11,0.83,0.45,39.91,0.85,1,1,MISS,-0.92
500,1.76,-1.70,0.70,-0.46,51,0.92,7.82,10,MISS,0.88
494,1.76,-1.95,0.62,-0.67,72,0.87,7.76,24,MISS,0.76
401,1.63,-2.01,0.67,0.85,69.97,0.80,5.65,0,MISS,0.73
371,1.50,-1.51,0.56,0.50,69,0.75,7.86,14,HIT,0.66
389,1.38,-0.20,0.75,0.56,54.77,0.55,3,1,MISS,-0.65
408,0.98,-1.14,0.51,-0.09,15,0.92,4.87,10,MISS,0.98
427,0.93,1.21,0.66,0.48,65.95,0.90,3.81,0,MISS,1.00
461,0.87,2.09,0.62,0.47,72,0.94,7.72,12,MISS,1.00
495,0.83,1.18,0.62,0.94,72,0.95,7.91,24,MISS,1.00
507,0.78,-0.68,0.64,0.86,71.57,0.94,7.97,36,HIT,0.70
550,0.75,4.19,0.63,0.83,68.69,0.93,6.81,7,MISS,0.30
566,0.71,-0.49,0.74,-0.07,24.83,0.88,3.97,0,BULLETHITBULLET,1.00
554,0.75,0,0.82,-0.11,7.86,0.73,0,5,MISS,0.36
584,0.68,0.09,0.71,0.19,4.14,0.91,3,6,MISS,-0.47
591,0.41,-2.19,0.79,0.08,5.24,0.79,3.93,4,MISS,0.42
559,0.39,0.50,0.55,0.48,5.61,0.89,2.96,3,MISS,0.14
554,0.37,-2.12,0.80,0.07,3.94,0.56,2.12,3,MISS,0.13
545,0.36,1.03,0.43,0.02,5.50,0.91,3.86,4,MISS,-0.03
533,0.33,0.94,0.55,-0.14,62,0.96,7.94,12,BULLETHITBULLET,0.93
552,0.35,-3.05,0.78,-0.08,7.13,0.61,3.31,4,MISS,-0.38
514,0.34,0.09,0.47,-0.24,42.54,0.87,1,1,MISS,0.93
561,0.19,-0.65,0.69,0.63,45.69,0.94,5.96,4,MISS,0.49
574,0.19,0.63,0.66,0.39,71.83,0.92,7.98,15,MISS,0.03
574,0.10,0,0.85,0.49,9.50,0.81,0,3,MISS,-0.34
573,0.10,-0.25,0.78,0.13,5,0.89,1.48,1,MISS,0.72
564,0.10,0.74,0.70,0.44,21,0.88,5.95,8,BULLETHITBULLET,0.97
569,0.10,-0.04,0.70,-0.31,62,0.93,6,0,MISS,0.32
558,0.10,-0.05,0.80,0.44,59.95,0.67,2,0,BULLETHITBULLET,0.10
559,0.10,0.93,0.67,-0.23,41.97,0.93,3.89,0,MISS,-0.67
556,0.10,-2.35,0.64,-0.24,44,0.75,7.65,9,MISS,0.51
518,0.10,-0.52,0.83,-0.67,44.86,0.55,0.85,1,MISS,-0.21
482,0.10,-1.19,0.72,0.52,26.96,0.44,1.61,0,MISS,-0.87
485,0.10,2.38,0.33,-0.04,28,0.93,6.58,8,MISS,0.37
511,0.10,1.70,0.66,-0.84,68.73,0.96,5.75,0,MISS,-0.25
489,0.10,-2.39,0.71,0.39,32.99,0.82,4.39,0,MISS,-0.28
498,0.10,0,0.72,-0.25,2.17,0.82,0,4,MISS,0.64
509,0.10,-2.13,0.60,-0.18,44,0.94,7.71,15,MISS,0.31
523,0.10,-0.19,0.78,0.64,53.92,0.89,3,1,MISS,-0.09
518,0.10,0,0.83,0.31,5.25,0.83,0,1,MISS,0.06
502,0.10,-0.76,0.78,0.06,18,0.88,1.85,2,BULLETHITBULLET,-0.29
506,0.10,0,0.81,-0.06,4,0.81,0,1,MISS,0.58
531,0.10,3.78,0.65,0.46,57,0.89,7.05,11,MISS,-0.95
538,0.10,-0.38,0.69,-0.07,26.19,0.96,6.99,7,MISS,1.00
558,0.10,2.56,0.65,-0.78,72,0.89,7.58,20,MISS,0.50
626,0.10,5.31,0.70,0.85,71.82,0.74,5.99,31,MISS,-0.20
618,0.10,-2.49,0.65,-0.03,35.92,0.96,7.60,11,BULLETHITBULLET,0.43
663,0.10,-1.69,0.68,0.54,21.99,0.86,2.48,3,MISS,0.74
554,0.10,1.42,0.66,0.55,71.02,0.95,7.87,22,BULLETHITBULLET,0.45
523,0.10,-0.26,0.78,0.24,21.97,0.90,2.99,3,MISS,-0.78
470,1.99,5.82,0.44,0,61.56,0.84,5.48,12,MISS,-0.77
460,1.99,0,0.81,-0.78,51.99,0.78,0,0,MISS,-0.78
446,1.99,-4.39,0.66,-0.07,69,0.77,6.69,14,BULLETHITBULLET,0.67
438,1.99,0.55,0.43,0.42,19.93,0.85,0.84,2,MISS,1.00
452,1.99,1.45,0.60,0.39,71,0.92,7.87,16,MISS,0.85
