distance,myBulletPower,opponentAdvancingVelocity,opponentBackwardWall,opponentCurrentGuessFactor,opponentForwardWall,opponentLateralVelocity,opponentTimeSinceLastDeceleration,type,guessFactor
358.40,1.99,0.96,0.49,0.00,0.52,7.94,30.00,HIT,-0.08
346.85,1.99,7.97,0.60,0.06,0.04,0.70,18.00,BULLETHITBULLET,-0.06
326.85,1.99,7.95,0.10,0.33,0.70,0.92,16.00,MISS,0.08
340.75,1.99,7.97,0.61,0.06,0.05,0.70,4.00,HIT,-0.07
476.78,1.99,5.65,0.12,0.07,0.78,0.38,0.00,MISS,0.93
509.39,1.99,-1.31,0.32,0.15,0.93,6.88,6.00,MISS,1.00
515.81,1.99,-1.47,0.58,0.62,0.91,7.86,20.00,MISS,0.90
522.20,1.99,-1.45,0.71,0.78,0.83,7.87,34.00,MISS,0.18
503.44,1.99,-1.73,0.68,0.78,0.60,7.81,10.00,BULLETHITBULLET,-0.10
453.38,1.99,2.73,0.55,0.48,0.91,5.96,6.00,HIT,0.92
591.96,1.99,4.44,0.69,0.65,0.77,6.65,34.00,MISS,0.19
654.45,1.99,-0.08,0.72,0.90,0.58,8.00,8.00,MISS,-0.58
676.52,1.99,-0.85,0.33,0.52,0.92,4.29,4.00,HIT,0.91
695.71,1.99,1.16,0.39,-0.20,0.92,7.92,19.00,HIT,0.92
730.03,1.99,3.56,0.57,0.63,0.85,7.16,34.00,MISS,0.47
754.84,1.99,1.60,0.67,0.90,0.80,7.84,5.00,MISS,-0.03
673.98,1.99,-0.11,0.54,0.65,0.92,3.59,3.00,MISS,1.00
667.54,1.99,2.39,0.55,0.14,0.86,7.64,18.00,MISS,0.84
717.97,1.76,3.67,0.68,-0.53,0.77,7.11,9.00,MISS,0.77
786.30,1.47,5.33,0.72,0.86,0.70,5.96,23.00,MISS,0.76
790.92,1.22,0.00,0.74,0.73,0.69,0.00,1.00,HIT,0.92
627.24,1.99,0.38,0.56,0.00,0.92,7.99,12.00,HIT,0.91
652.26,1.99,2.04,0.61,0.31,0.87,7.74,26.00,HIT,0.85
710.65,1.99,2.14,0.65,0.59,0.72,7.66,3.00,HIT,0.90
709.36,1.99,-0.88,0.65,0.89,0.83,4.46,4.00,MISS,0.75
373.35,1.99,1.73,0.52,0.79,0.88,3.96,4.00,HIT,0.94
386.07,1.99,6.22,0.34,0.15,0.85,5.03,18.00,MISS,0.78
463.09,1.99,7.65,0.29,0.77,0.80,2.36,32.00,HIT,0.94
547.67,1.99,1.61,0.68,0.53,0.93,7.84,14.00,MISS,1.00
552.54,1.99,2.10,0.72,0.87,0.92,7.72,5.00,MISS,1.00
556.55,2.49,2.09,0.73,0.81,0.84,7.72,19.00,BULLETHITBULLET,0.87
557.73,2.49,2.08,0.73,1.00,0.66,7.72,34.00,MISS,0.21
446.13,1.99,-0.91,0.20,0.48,0.91,7.55,7.00,MISS,1.00
423.80,1.99,2.12,0.55,-0.55,0.92,7.71,21.00,MISS,0.82
445.62,1.99,1.39,0.73,0.89,0.90,4.82,0.00,MISS,0.84
485.62,1.67,5.27,0.67,0.64,0.89,6.01,14.00,HIT,0.86
489.75,1.99,3.99,0.45,0.00,0.91,6.93,27.00,MISS,0.25
637.75,1.99,-0.80,0.71,0.48,0.76,3.53,3.00,BULLETHITBULLET,0.93
567.09,1.99,4.79,0.61,0.32,0.88,6.41,41.00,MISS,-0.58
525.62,1.99,1.01,0.49,0.34,0.93,7.38,7.00,HIT,0.91
521.33,1.99,2.35,0.49,-0.03,0.91,7.65,3.00,MISS,1.00
549.25,1.99,2.49,0.66,0.75,0.92,7.60,18.00,HIT,0.85
