distance,myBulletPower,opponentAdvancingVelocity,opponentCurrentGuessFactor,opponentLateralVelocity,type,guessFactor
322.94,1.99,0.00,0.00,0.00,HIT,-0.00
334.71,1.99,0.00,-0.00,0.00,HIT,0.01
326.72,1.99,-0.00,0.00,0.00,HIT,-0.00
341.98,1.99,-0.00,-0.00,0.00,HIT,0.00
379.40,1.99,-0.00,0.00,0.00,HIT,0.00
415.36,1.99,-0.00,0.00,0.00,HIT,0.00
437.86,1.99,-0.00,0.00,0.00,HIT,0.00
427.55,1.99,-0.00,-0.00,0.00,HIT,0.01
424.32,1.99,-0.00,-0.00,-0.00,HIT,0.00
442.10,1.99,-0.00,-0.00,-0.00,HIT,-0.00
415.42,1.99,-0.00,-0.00,-0.00,HIT,-0.00
358.39,2.99,0.00,0.00,-0.00,HIT,-0.01
282.26,2.99,0.00,-0.00,-0.00,HIT,0.01
246.37,2.99,0.00,-0.00,0.00,HIT,-0.00
166.40,2.99,0.00,-0.00,0.00,HIT,-0.01
208.61,2.99,0.00,0.00,0.00,HIT,-0.01
253.35,2.99,0.00,-0.00,0.00,HIT,0.01
304.83,2.99,0.00,0.00,-0.00,HIT,-0.00
196.05,2.99,0.00,0.00,-0.00,HIT,-0.01
238.43,2.99,0.00,0.00,-0.00,HIT,-0.01
202.47,2.99,0.00,-0.00,-0.00,HIT,-0.01
219.52,2.99,0.00,0.00,0.00,HIT,0.01
284.33,2.99,0.00,-0.00,0.00,HIT,0.00
308.75,2.99,0.00,-0.00,0.00,HIT,-0.00
322.02,2.99,-0.00,-0.00,0.00,HIT,-0.00
328.54,2.99,-0.00,0.00,-0.00,HIT,0.00
375.73,2.99,-0.00,-0.00,-0.00,HIT,-0.00
416.93,2.99,0.00,-0.00,-0.00,HIT,0.00
453.64,2.99,0.00,-0.00,-0.00,HIT,-0.00
482.31,2.99,0.00,0.00,-0.00,HIT,0.00
438.99,2.99,0.00,0.00,-0.00,HIT,-0.01
388.22,2.99,0.00,-0.00,-0.00,HIT,0.01
205.15,2.99,0.00,0.00,0.00,HIT,-0.01
290.28,2.99,-0.00,-0.00,0.00,HIT,-0.00
341.47,2.99,-0.00,0.00,0.00,HIT,-0.00
386.20,2.99,-0.00,-0.00,0.00,HIT,-0.01
412.63,2.99,-0.00,-0.00,0.00,HIT,0.00
380.06,2.99,-0.00,-0.00,0.00,HIT,0.00
362.76,2.99,-0.00,-0.00,-0.00,HIT,0.01
248.63,2.99,0.00,0.00,0.00,HIT,0.00
180.70,2.99,0.00,-0.00,0.00,HIT,-0.01
169.27,2.99,0.00,0.00,0.00,HIT,0.02
118.67,3.00,-0.00,0.00,0.00,HIT,0.02
125.10,3.00,-0.00,0.00,-0.00,HIT,0.00
222.74,2.99,-0.00,0.00,-0.00,HIT,0.00
297.52,2.99,-0.00,-0.00,-0.00,HIT,-0.01
265.29,2.99,-0.00,0.00,-0.00,HIT,-0.01
310.15,2.99,-0.00,-0.00,-0.00,HIT,0.00
357.55,2.99,0.00,0.00,-0.00,HIT,-0.01
381.37,2.99,0.00,-0.00,-0.00,HIT,-0.00
372.19,2.99,0.00,-0.00,-0.00,HIT,0.00
385.15,2.99,0.00,0.00,-0.00,HIT,0.01
423.43,2.99,0.00,-0.00,0.00,HIT,0.00
287.66,2.99,-0.00,0.00,-0.00,HIT,-0.01
339.23,2.99,0.00,-0.00,-0.00,HIT,0.01
384.21,2.99,0.00,-0.00,-0.00,HIT,-0.00
424.61,2.99,0.00,-0.00,-0.00,HIT,-0.00
455.50,2.99,0.00,-0.00,-0.00,HIT,-0.00
406.04,2.99,0.00,-0.00,-0.00,HIT,0.00
