distance,myBulletPower,opponentAdvancingVelocity,opponentBackwardWall,opponentCurrentGuessFactor,opponentForwardWall,opponentLateralVelocity,opponentTimeSinceLastDeceleration,type,guessFactor
421.98,1.99,0.00,0.80,0.00,0.78,0.00,26.00,HIT,-0.00
410.38,1.99,0.00,0.82,-0.00,0.81,0.00,40.00,HIT,0.00
426.61,1.99,0.00,0.82,0.00,0.82,0.00,54.00,HIT,-0.01
458.81,1.99,0.00,0.82,-0.00,0.82,0.00,68.00,HIT,-0.01
487.87,1.99,0.00,0.82,-0.00,0.82,0.00,82.00,HIT,-0.00
468.20,1.99,-0.00,0.83,0.00,0.77,0.00,96.00,HIT,-0.00
433.45,1.99,-0.00,0.83,-0.00,0.69,0.00,110.00,HIT,0.01
413.75,1.99,-0.00,0.81,-0.00,0.64,0.00,124.00,HIT,0.01
413.73,1.99,-0.00,0.79,-0.00,0.61,0.00,138.00,HIT,0.00
363.85,1.99,-0.00,0.78,-0.00,0.59,0.00,152.00,HIT,0.01
268.32,1.99,-0.00,0.74,-0.00,0.54,0.00,166.00,HIT,0.01
461.72,2.99,-0.00,0.78,0.00,0.76,-0.00,26.00,HIT,-0.00
453.20,2.99,-0.00,0.82,-0.00,0.77,-0.00,42.00,HIT,0.00
381.09,2.99,-0.00,0.78,0.00,0.78,-0.00,58.00,HIT,-0.00
328.31,2.99,-0.00,0.76,-0.00,0.73,-0.00,74.00,HIT,0.01
316.66,2.99,0.00,0.76,-0.00,0.69,-0.00,90.00,HIT,0.01
323.68,2.99,0.00,0.69,-0.00,0.65,-0.00,106.00,HIT,0.01
254.68,2.99,0.00,0.73,0.00,0.67,-0.00,122.00,HIT,-0.01
432.29,2.99,0.00,0.72,0.00,0.65,0.00,24.00,HIT,0.00
468.67,2.99,0.00,0.81,-0.00,0.54,0.00,40.00,HIT,-0.00
502.48,2.99,0.00,0.81,-0.00,0.41,0.00,56.00,HIT,0.01
533.71,2.99,0.00,0.82,0.00,0.28,0.00,72.00,HIT,-0.00
493.93,2.99,0.00,0.81,-0.00,0.18,0.00,88.00,HIT,0.01
378.27,2.99,0.00,0.79,-0.00,0.22,0.00,104.00,HIT,0.00
253.71,2.99,0.00,0.76,-0.00,0.30,0.00,120.00,HIT,-0.01
640.34,2.99,0.00,0.72,0.00,0.66,-0.00,28.00,HIT,-0.00
579.23,2.99,0.00,0.80,-0.00,0.56,-0.00,44.00,HIT,-0.00
530.36,2.99,0.00,0.81,-0.00,0.41,-0.00,60.00,HIT,0.00
504.17,2.99,0.00,0.79,-0.00,0.25,-0.00,76.00,HIT,-0.00
427.15,2.99,0.00,0.78,0.00,0.12,-0.00,92.00,HIT,0.02
302.77,2.99,0.00,0.74,0.00,0.10,-0.00,108.00,HIT,0.04
216.41,2.99,0.00,0.69,-0.00,0.07,-0.00,124.00,HIT,0.06
235.16,2.99,0.00,0.71,0.00,0.70,-0.00,26.00,HIT,-0.00
265.73,2.99,0.00,0.71,0.00,0.67,-0.00,42.00,HIT,-0.01
229.40,2.99,0.00,0.72,-0.00,0.73,0.00,58.00,HIT,0.00
212.12,2.99,0.00,0.72,-0.00,0.71,0.00,74.00,HIT,-0.01
255.37,2.99,0.00,0.75,0.00,0.75,0.00,90.00,HIT,-0.01
308.64,2.99,-0.00,0.70,-0.00,0.72,0.00,106.00,HIT,0.00
309.29,2.99,-0.00,0.70,0.00,0.78,0.00,122.00,HIT,0.00
480.64,2.99,-0.00,0.81,0.00,0.72,-0.00,26.00,HIT,-0.00
513.68,2.99,-0.00,0.81,0.00,0.60,-0.00,42.00,HIT,0.00
544.76,2.99,-0.00,0.82,-0.00,0.47,-0.00,58.00,HIT,-0.00
571.28,2.99,-0.00,0.81,-0.00,0.33,-0.00,74.00,HIT,0.01
549.29,2.99,-0.00,0.82,-0.00,0.20,-0.00,90.00,HIT,-0.00
445.65,2.99,-0.00,0.81,-0.00,0.20,-0.00,106.00,HIT,0.02
321.42,2.99,0.00,0.78,-0.00,0.23,-0.00,122.00,HIT,0.02
195.84,2.99,0.00,0.64,0.00,0.68,-0.00,28.00,HIT,-0.00
267.19,2.99,0.00,0.62,0.00,0.76,-0.00,44.00,HIT,0.01
